Codigo;Provincias;Sexo;Periodo;Total
01;Araba/Álava;Hombres;1987;877
01;Araba/Álava;Hombres;1986;905
01;Araba/Álava;Hombres;1985;861
01;Araba/Álava;Hombres;1984;817
01;Araba/Álava;Hombres;1983;809
01;Araba/Álava;Hombres;1982;738
01;Araba/Álava;Hombres;1981;786
01;Araba/Álava;Hombres;1980;860
01;Araba/Álava;Hombres;1979;865
01;Araba/Álava;Hombres;1978;930
01;Araba/Álava;Hombres;1977;906
01;Araba/Álava;Hombres;1976;944
01;Araba/Álava;Hombres;1975;893
01;Araba/Álava;Mujeres;2021;1412
01;Araba/Álava;Mujeres;2020;1550
01;Araba/Álava;Mujeres;2019;1291
01;Araba/Álava;Mujeres;2018;1316
01;Araba/Álava;Mujeres;2017;1346
01;Araba/Álava;Mujeres;2016;1266
01;Araba/Álava;Mujeres;2015;1356
01;Araba/Álava;Mujeres;2014;1212
01;Araba/Álava;Mujeres;2013;1182
01;Araba/Álava;Mujeres;2012;1201
01;Araba/Álava;Mujeres;2011;1141
01;Araba/Álava;Mujeres;2010;1152
01;Araba/Álava;Mujeres;2009;1174
01;Araba/Álava;Mujeres;2008;1135
01;Araba/Álava;Mujeres;2007;1132
01;Araba/Álava;Mujeres;2006;1024
01;Araba/Álava;Mujeres;2005;1104
01;Araba/Álava;Mujeres;2004;1078
01;Araba/Álava;Mujeres;2003;1128
01;Araba/Álava;Mujeres;2002;1032
01;Araba/Álava;Mujeres;2001;996
01;Araba/Álava;Mujeres;2000;989
01;Araba/Álava;Mujeres;1999;1044
01;Araba/Álava;Mujeres;1998;948
01;Araba/Álava;Mujeres;1997;884
01;Araba/Álava;Mujeres;1996;957
01;Araba/Álava;Mujeres;1995;883
01;Araba/Álava;Mujeres;1994;841
01;Araba/Álava;Mujeres;1993;830
01;Araba/Álava;Mujeres;1992;786
01;Araba/Álava;Mujeres;1991;837
01;Araba/Álava;Mujeres;1990;840
01;Araba/Álava;Mujeres;1989;778
01;Araba/Álava;Mujeres;1988;749
01;Araba/Álava;Mujeres;1987;715
01;Araba/Álava;Mujeres;1986;709
01;Araba/Álava;Mujeres;1985;775
01;Araba/Álava;Mujeres;1984;634
01;Araba/Álava;Mujeres;1983;704
01;Araba/Álava;Mujeres;1982;630
01;Araba/Álava;Mujeres;1981;675
01;Araba/Álava;Mujeres;1980;677
01;Araba/Álava;Mujeres;1979;690
01;Araba/Álava;Mujeres;1978;687
01;Araba/Álava;Mujeres;1977;678
01;Araba/Álava;Mujeres;1976;663
01;Araba/Álava;Mujeres;1975;641
33;Asturias;Total;2021;13367
33;Asturias;Total;2020;14550
33;Asturias;Total;2019;12893
33;Asturias;Total;2018;13238
33;Asturias;Total;2017;13152
33;Asturias;Total;2016;13204
33;Asturias;Total;2015;13550
33;Asturias;Total;2014;12812
33;Asturias;Total;2013;12722
33;Asturias;Total;2012;13151
33;Asturias;Total;2011;12678
33;Asturias;Total;2010;12725
33;Asturias;Total;2009;12759
33;Asturias;Total;2008;12741
33;Asturias;Total;2007;12667
33;Asturias;Total;2006;12342
33;Asturias;Total;2005;12703
33;Asturias;Total;2004;12550
33;Asturias;Total;2003;12752
33;Asturias;Total;2002;12424
33;Asturias;Total;2001;11926
33;Asturias;Total;2000;12393
33;Asturias;Total;1999;12649
33;Asturias;Total;1998;12259
33;Asturias;Total;1997;11788
33;Asturias;Total;1996;12156
33;Asturias;Total;1995;11989
33;Asturias;Total;1994;11271
33;Asturias;Total;1993;11718
33;Asturias;Total;1992;11378
33;Asturias;Total;1991;11505
33;Asturias;Total;1990;11416
33;Asturias;Total;1989;11008
33;Asturias;Total;1988;10910
33;Asturias;Total;1987;10707
33;Asturias;Total;1986;10579
33;Asturias;Total;1985;10935
33;Asturias;Total;1984;10409
33;Asturias;Total;1983;10237
33;Asturias;Total;1982;10073
33;Asturias;Total;1981;9872
33;Asturias;Total;1980;10315
33;Asturias;Total;1979;9936
33;Asturias;Total;1978;9593
33;Asturias;Total;1977;10127
33;Asturias;Total;1976;9715
